model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,5,log_return_15m,30.76032829284668,184.5619659423828,6.0,9606.5732421875,57639.44140625,0.0017345149484888048,41
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,6,log_return_30m,28.09020233154297,252.81182861328125,9.0,9039.1513671875,81352.359375,0.0023759277467895004,33
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,7,log_return_60m,72.48172760009766,362.40863037109375,5.0,12667.2421875,63336.2109375,0.003405919435406618,28
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,8,log_return_120m,83.75686645507812,11474.6904296875,137.0,30010.4296875,4111428.75,0.10783923967188229,2
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,9,momentum_acceleration_5_30,41.5527458190918,249.31646728515625,6.0,19564.587890625,117387.5234375,0.0023430783108667427,35
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,10,momentum_acceleration_15_60,53.670223236083984,1663.7769775390625,31.0,17536.5,543631.5,0.015636190391437096,14
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,11,efficiency_ratio_15m,7.373203277587891,7.373203277587891,1.0,729.3555908203125,729.3555908203125,6.929342802522671e-05,58
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,12,efficiency_ratio_60m,34.706600189208984,1665.9168701171875,48.0,16457.705078125,789969.875,0.01565630112035118,13
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,13,up_candle_ratio_15m,16.45611000061035,49.36832809448242,3.0,3334.302001953125,10002.90625,0.00046396397342512,48
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,14,realized_volatility_5m,13.435736656188965,40.30720901489258,3.0,2502.859619140625,7508.5791015625,0.000378807498127863,49
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,15,realized_volatility_15m,26.96181297302246,188.73269653320312,7.0,5746.2294921875,40223.60546875,0.0017737115105700505,40
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,16,realized_volatility_30m,37.1803092956543,817.966796875,22.0,14041.181640625,308906.0,0.007687259015165191,20
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,17,realized_volatility_60m,36.371971130371094,1709.482666015625,47.0,15195.259765625,714177.1875,0.01606573284612854,12
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,18,realized_volatility_120m,49.6585578918457,2880.1962890625,58.0,18525.890625,1074501.625,0.027068109577465582,7
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,19,volatility_ratio_5_60,8.334625244140625,8.334625244140625,1.0,922.9168701171875,922.9168701171875,7.83288799628801e-05,57
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,20,volatility_ratio_15_120,20.853200912475586,250.23841857910156,12.0,3794.6171875,45535.40625,0.0023517428170826437,34
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,21,normalized_atr_14,24.885786056518555,298.6294250488281,12.0,12885.2275390625,154622.734375,0.0028065219134451214,31
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,22,normalized_atr_60,32.12766647338867,995.9576416015625,31.0,13159.0419921875,407930.3125,0.009360018509766328,17
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,23,semivariance_imbalance_60m,22.57295036315918,180.58360290527344,8.0,10171.8759765625,81375.0078125,0.0016971262583372502,42
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,24,ema_distance_5,31.598291397094727,315.98291015625,10.0,9814.3291015625,98143.2890625,0.0029696101162257405,30
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,25,ema_distance_20,62.330631256103516,1620.596435546875,26.0,20698.060546875,538149.5625,0.015230379285194981,15
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,26,ema_distance_60,112.7588882446289,2029.6600341796875,18.0,17089.1484375,307604.65625,0.01907476251490516,10
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,27,ema_distance_120,335.1895446777344,40893.125,122.0,49343.87109375,6019952.5,0.38431394161169885,1
