fold_name,feature_index,feature_name,coefficient,absolute_coefficient,coefficient_rank,coefficient_sign
fold_2023,41,lower_wick_ratio,0.009754010070392588,0.009754010070392588,29,positive
fold_2023,42,close_location,0.006098032558946481,0.006098032558946481,40,positive
fold_2023,43,signed_body_mean_5m,-0.006135931574029492,0.006135931574029492,39,negative
fold_2023,44,upper_wick_mean_15m,-0.028569660870511004,0.028569660870511004,12,negative
fold_2023,45,lower_wick_mean_15m,-0.0032714252852072473,0.0032714252852072473,50,negative
fold_2023,46,is_zero_volume_1m,0.0008401444642839739,0.0008401444642839739,59,positive
fold_2023,47,log_quote_volume_zscore_60m,-0.03738261459514646,0.03738261459514646,6,negative
fold_2023,48,volume_ratio_5_60,-0.007057417201417358,0.007057417201417358,35,negative
fold_2023,49,volume_ratio_15_60,0.006378036889114767,0.006378036889114767,36,positive
fold_2023,50,taker_buy_quote_ratio_1m,0.00894611298119663,0.00894611298119663,32,positive
fold_2023,51,taker_buy_quote_ratio_5m,-0.004663094128052765,0.004663094128052765,44,negative
fold_2023,52,taker_buy_quote_ratio_15m,-0.004630976902501696,0.004630976902501696,46,negative
fold_2023,53,taker_buy_quote_ratio_60m,-0.009632146510544335,0.009632146510544335,30,negative
fold_2023,54,buy_pressure_change_5_60,0.00017645962699428596,0.00017645962699428596,63,positive
fold_2023,55,buy_pressure_persistence_15m,-0.0023899942380672837,0.0023899942380672837,52,negative
fold_2023,56,buy_pressure_std_15m,0.022709754003361206,0.022709754003361206,17,positive
fold_2023,57,log_trade_count_zscore_60m,0.023590684172821758,0.023590684172821758,16,positive
fold_2023,58,log_avg_trade_quote_size_zscore_60m,0.02507472544476912,0.02507472544476912,14,positive
fold_2023,59,time_sin,-0.03259744458880566,0.03259744458880566,9,negative
fold_2023,60,time_cos,-0.0035823337663658176,0.0035823337663658176,49,negative
fold_2023,61,weekday_sin,0.016601428963560975,0.016601428963560975,24,positive
fold_2023,62,weekday_cos,-0.0011333863804151897,0.0011333863804151897,57,negative
fold_2023,63,is_weekend,0.011169770861758832,0.011169770861758832,27,positive
fold_2024,1,log_return_1m,-0.0013213049211687731,0.0013213049211687731,52,negative
fold_2024,2,log_return_3m,-0.006677883725969526,0.006677883725969526,35,negative
